,Mins,Rating,Market Value,Fee,Class
446,1377,7.0,14.4,15.3,1
447,2414,7.56,19.0,0.0,1
448,2181,7.55,40.0,0.0,0
449,2464,7.52,90.0,0.0,1
450,3060,7.49,63.0,0.0,1
451,2878,7.44,34.0,0.0,0
452,1896,6.98,16.2,33.3,1
453,2050,7.41,18.0,0.0,1
454,2322,7.39,45.0,0.0,1
455,1392,7.34,54.0,0.0,1
456,1280,6.97,4.5,7.65,1
457,3112,6.97,1.8,0.0,1
458,2820,7.28,31.0,0.0,1
459,2454,7.27,31.0,0.0,1
460,1780,7.26,18.0,0.0,1
461,2961,7.26,34.0,0.0,1
462,2674,7.26,45.0,0.0,0
463,2901,7.25,81.0,0.0,1
464,1143,7.24,45.0,0.0,1
465,2136,7.21,31.0,0.0,0
466,2391,7.19,31.0,0.0,1
467,2431,7.19,40.0,0.0,1
468,2525,7.17,58.0,0.0,1
469,1776,7.17,31.0,0.0,0
470,1774,7.15,54.0,0.0,1
471,2122,7.13,19.0,0.0,1
472,2879,7.11,16.0,0.0,1
473,1740,7.11,27.0,0.0,1
474,2812,6.91,1.58,0.0,1
475,2404,7.09,34.0,0.0,1
476,2178,6.91,14.4,9.0,1
477,2395,7.06,19.0,0.0,1
478,1254,7.02,22.0,0.0,1
479,2575,7.02,15.0,0.0,1
480,1794,6.88,9.0,10.8,0
481,2534,7.01,49.0,0.0,1
482,2003,7.01,27.0,0.0,1
483,1897,7.0,13.0,0.0,1
484,1680,7.0,19.0,0.0,1
485,2874,6.88,4.95,0.0,1
486,2249,7.0,54.0,0.0,0
487,1559,6.98,18.0,0.0,1
488,2566,6.87,2.7,1.44,0
489,3053,6.98,27.0,0.0,1
490,2652,6.96,54.0,0.0,1
491,2939,6.95,36.0,0.0,1
492,2356,6.94,27.0,0.0,1
493,1838,6.84,10.8,4.5,1
494,1205,6.93,45.0,0.0,0
495,1267,6.92,25.0,0.0,1
496,2061,6.92,15.0,0.0,1
497,2668,6.83,3.6,3.6,1
498,1871,6.92,18.0,0.0,1
499,2626,6.91,27.0,0.0,1
500,2278,6.9,18.0,0.0,1
501,2815,6.82,630.0,4.5,1
502,1921,6.9,36.0,0.0,1
503,2542,6.9,22.0,0.0,0
504,1061,6.9,13.0,0.0,1
505,1313,6.88,24.0,0.0,1
506,2013,6.8,450.0,0.0,1
507,1694,6.87,13.0,0.0,1
508,3035,6.85,13.0,0.0,1
509,2640,6.79,1.58,2.7,0
510,1941,6.76,25.2,22.5,1
511,1827,6.75,10.8,18.0,1
512,2206,6.79,36.0,0.0,1
513,2575,6.78,15.0,0.0,1
514,2748,6.75,2.7,5.85,1
515,2880,6.73,3.15,3.15,1
516,1295,6.73,5.4,0.0,0
517,2606,6.73,31.0,0.0,1
518,2380,6.73,31.0,0.0,1
519,1878,6.72,15.0,0.0,1
520,2482,6.71,3.15,2.25,1
521,1256,6.72,15.0,0.0,1
522,1984,6.71,2.25,0.0,0
523,1456,6.71,22.0,0.0,1
524,1593,6.69,180.0,135.0,1
525,1833,6.69,1.58,3.6,1
526,1731,6.69,13.0,0.0,1
527,1546,6.65,9.0,17.1,1
528,1224,6.65,6.3,5.85,1
529,2072,6.65,19.0,0.0,1
530,2069,6.65,21.0,0.0,1
531,1600,6.64,450.0,0.0,1
532,1959,6.63,25.0,0.0,1
533,2301,6.63,22.5,27.0,1
534,2070,6.62,13.0,0.0,1
535,1131,6.62,450.0,0.0,0
536,1209,6.62,5.4,1.26,1
537,1552,6.61,6.3,9.0,0
538,1552,6.61,6.3,9.0,0
539,1552,6.61,6.3,9.0,0
540,1552,6.61,6.3,9.0,0
541,2705,6.61,4.5,3.6,1
542,1416,6.59,13.0,0.0,1
543,1336,6.59,1.22,3.15,1
544,2476,6.58,1.35,1.8,1
545,2180,6.57,2.7,1.92,1
546,2343,6.57,1.35,450.0,1
547,2493,6.57,2.7,0.0,1
548,746,6.56,0.0,0.0,1
549,1620,6.56,3.15,2.7,1
550,2501,6.55,2.25,0.0,1
551,1019,6.53,720.0,0.0,0
552,2273,6.5,3.6,2.7,1
553,1234,6.49,7.2,7.2,2
554,567,6.36,16.0,0.0,0
555,2303,6.34,16.0,0.0,2
556,452,6.32,14.0,0.0,2
557,1034,6.45,0.0,0.0,2
558,794,6.42,7.2,0.0,2
559,1538,6.42,3.15,0.0,2
560,1850,6.4,1.8,0.0,0
561,1850,6.4,1.8,0.0,0
562,913,6.39,2.25,1.8,2
563,1453,6.34,0.0,0.0,2
564,581,6.33,900.0,0.0,2
565,1440,6.25,1.98,1.13,2
566,2250,6.23,450.0,1.44,2
567,762,6.17,2.7,0.0,2
568,310,6.16,540.0,0.0,2
569,1864,7.29,4.95,4.95,1
570,2931,7.24,6.3,9.45,1
571,2121,7.17,1.8,0.0,1
572,2290,7.13,10.8,18.0,1
573,2873,7.11,18.0,18.0,1
574,2466,7.03,7.2,4.5,1
575,2026,7.01,3.6,0.0,1
576,2743,7.0,8.1,9.45,0
577,1227,6.99,12.6,14.4,1
578,2021,6.96,36.0,0.0,1
579,1487,6.91,4.05,900.0,1
580,1985,6.89,9.0,1.8,1
581,2823,6.89,13.5,12.15,1
582,2381,6.88,10.8,25.2,0
583,2050,6.87,1.35,2.7,1
584,924,6.86,45.0,57.6,1
585,3050,6.84,900.0,0.0,1
586,2111,6.76,10.8,10.8,1
587,1679,6.74,2.25,1.35,0
588,1934,6.71,900.0,450.0,1
589,3054,6.69,6.75,2.7,1
590,1275,6.68,3.15,12.6,1
591,1351,6.65,4.05,4.05,1
592,1262,6.64,5.18,2.52,1
593,1069,6.6,5.4,5.4,1
594,915,6.59,1.35,0.0,1
595,892,6.59,0.0,0.0,1
596,829,6.58,2.7,2.03,1
597,1527,6.58,900.0,0.0,1
598,1296,6.57,1.35,1.17,1
599,951,6.57,6.3,3.6,1
600,1694,6.55,7.2,4.5,1
601,863,6.5,2.25,0.0,1
602,1439,6.5,1.13,810.0,1
603,677,6.49,450.0,0.0,2
604,849,6.35,1.35,13.5,2
605,1545,6.35,4.5,2.7,2
606,3063,7.4,46.99131231021562,0.0,1
607,2379,7.17,57.04644539428938,0.0,1
608,2879,7.14,59.75718460929414,0.0,0
609,3213,7.1,62.581528171854984,0.0,1
610,2878,7.08,62.80161284039713,0.0,1
611,2681,7.08,62.33380176229065,0.0,1
612,3035,7.06,64.19003786644373,0.0,1
613,1702,7.04,62.04019636264957,0.0,1
614,2674,7.04,64.34838097137788,0.0,0
615,1254,7.04,60.97634172817391,0.0,1
616,2731,7.03,64.99153796064849,0.0,1
617,2100,7.03,63.49311770539373,0.0,1
618,1751,7.02,63.17215643217082,0.0,1
619,3138,6.98,68.49703332085397,0.0,1
620,2651,6.97,67.84836682540418,0.0,1
621,2038,6.96,66.90049121400813,0.0,0
622,2965,6.94,70.11741639305967,0.0,1
623,2067,6.93,68.49275825749936,0.0,1
624,2253,6.93,68.93444790484864,0.0,1
625,2714,6.93,70.02917332112821,0.0,1
626,2534,6.93,69.6017317269193,0.0,1
627,2137,6.92,69.16678602857394,0.0,1
628,1995,6.91,69.33738258869124,0.0,1
629,2985,6.89,72.70391232571603,0.0,1
630,2700,6.89,72.02712980155184,0.0,1
631,2880,6.89,72.45457139576081,0.0,1
632,3240,6.89,73.3094545841787,0.0,1
633,2132,6.88,71.18611458870794,0.0,1
634,1869,6.88,70.5615749260582,0.0,1
635,2016,6.87,71.41845271243324,0.0,1
636,2392,6.87,72.31133070922527,0.0,1
637,2290,6.87,72.06911380584023,0.0,1
638,1697,6.87,70.66093122047403,0.0,1
639,3121,6.87,74.04246916577154,0.0,1
640,3094,6.86,74.48615341107791,0.0,1
641,3197,6.86,74.73074498998642,0.0,1
642,2356,6.85,73.241443359259,0.0,1
643,2903,6.85,74.54039087054952,0.0,1
644,2020,6.85,72.44355238340228,0.0,1
645,1949,6.83,73.29055139011746,0.0,1
646,2387,6.83,74.33065926935927,0.0,1
