,Player,Mins,Rating,Market Value,Fee,Class
957,Miralem PjanicJuventus,2288,7.03,63.939556703789776,0.0,1
958,Senad Lulic,2930,7.02,65.97189887423946,0.0,1
959,Dennis Praet,2896,6.99,67.41456135975756,0.0,0
960,Giorgio ChielliniJuventus,1990,6.98,65.77090582001023,0.0,1
961,Emre CanJuventus,1807,6.98,65.33634019923113,0.0,1
962,Salvatore Sirigu,3170,6.98,68.57302293760227,0.0,1
963,Ismael Bennacer,2960,6.96,69.08994204656733,0.0,1
964,Roberto Gagliardini,1085,6.96,64.63742544022404,0.0,1
965,Nicolas Nkoulou,3215,6.94,70.71108527390544,0.0,1
966,Samir,1800,6.93,67.85871989275608,0.0,1
967,Nicola Murru,2937,6.93,70.55872596284269,0.0,1
968,Rodrigo Palacio,2335,6.92,69.63697178220377,0.0,1
969,Rade Krunic,2784,6.91,71.21100157664051,0.0,1
970,Hans Hateboer,2973,6.91,71.65981525055992,0.0,1
971,Danilo D'Ambrosio,2581,6.89,71.74454341426923,0.0,1
972,Kostas Manolas,2328,6.89,71.14375050685334,0.0,1
973,Mattia De SciglioJuventus,1742,6.89,69.75219065015085,0.0,1
974,Soualiho Meité,2663,6.88,72.44706729162436,0.0,1
975,Daniele Baselli,2390,6.88,71.79878087374078,0.0,1
976,Ola Aina,2160,6.88,71.2526055033627,0.0,0
977,Luis Muriel,1444,6.87,70.06013831305813,0.0,0
978,Vitor Hugo,2469,6.87,72.49418072452579,0.0,0
979,Alessio gnoli,2849,6.86,73.90435790784909,0.0,1
980,Luigi Sepe,3330,6.85,75.55437731903413,0.0,1
981,Juan CuadradoJuventus,1224,6.85,70.55331066678934,0.0,1
982,Berat Djimsiti,1805,6.85,71.93299714587494,0.0,1
983,Blaise MatuidiJuventus,2428,6.85,73.41241999694256,0.0,1
984,Lorenzo Tonelli,1653,6.85,71.57204646632067,0.0,1
985,Marco Parolo,2562,6.85,73.7306265170759,0.0,1
986,Ricardo Rodríguez,3052,6.84,75.40201800797126,0.0,1
987,Rodrigo BentancurJuventus,1996,6.84,72.89436065527877,0.0,1
988,Wojciech SzczesnyJuventus,2520,6.84,74.13869062953148,0.0,1
989,José Luis Palomino,2262,6.84,73.52602434449864,0.0,1
990,Thiago Cionek,2548,6.83,74.71298202862391,0.0,1
991,Gregoire Defrel,2343,6.82,74.73397403076814,0.0,1
992,Raúl Albiol,1712,6.81,73.74335425995116,0.0,0
993,Rafael Tolói,1748,6.81,73.82884257879294,0.0,1
994,Mohamed Fares,2947,6.81,76.67607853132927,0.0,0
995,Leonardo BonucciJuventus,2471,6.8,76.05353346663668,0.0,1
996,Daniele De Rossi,1273,6.8,73.20867218962371,0.0,0
997,Karol Linetty,2519,6.79,76.6753183761968,0.0,1
998,Pol Lirola,2976,6.78,78.26834557482056,0.0,1
999,Samir Handanovic,3420,6.78,79.32270150720268,0.0,1
1000,Roberto Inglese,1968,6.78,75.8746726472504,0.0,1
1001,Kevin Bonifazi,2303,6.78,76.67018894758377,0.0,1
1002,Manuel Locatelli,1851,6.77,76.1046360954524,0.0,0
1003,Gianluca Caprari,1034,6.76,74.6723266772861,0.0,1
1004,Luca Cigarini,1688,6.76,76.22536446957866,0.0,1
1005,Gastón Ramírez,1587,6.76,75.98552224171698,0.0,1
1006,Mattia Bani,2612,6.76,78.41956465318464,0.0,1
1007,Giovanni Di Lorenzo,3330,6.75,80.63238216341136,0.0,1
1008,Mateo Musacchio,2610,6.73,79.93821675545098,0.0,1
